BR;Paraíba;Santa Inês;-7.62056;-38.5536
BR;Pernambuco;São José do Belmonte;-7.86139;-38.7597
BR;Ceará;Jati;-7.68853;-39.0058
BR;Maranhão;Sambaíba;-7.14028;-45.3461
BR;Pernambuco;João Alfredo;-7.85583;-35.5883
BR;Pernambuco;Bom Jardim;-7.79583;-35.5872
BR;Paraíba;Cabaceiras;-7.48889;-36.2872
BR;Paraíba;Soledade;-7.05722;-36.3628
BR;Paraíba;Areial;-7.06139;-35.9258
BR;Paraíba;Cabedelo;-7.04029;-34.843
BR;Paraíba;Mari;-7.06;-35.3194
BR;Paraíba;Mari;-7.05849;-35.3187
BR;Paraíba;Cruz do Espírito Santo;-7.14;-35.0864
BR;Paraíba;Alagoa Nova;-7.07083;-35.7583
BR;Ceará;Barbalha;-7.31111;-39.3042
BR;Ceará;Crato;-7.23417;-39.4094
BR;Acre;Rodrigues Alves;-7.7356;-72.6514
BR;Paraíba;Monteiro (Centro);-7.89338;-37.127
BR;Pernambuco;Tabira;-7.59083;-37.5394
BR;Paraíba;Monteiro;-7.88944;-37.12
BR;Amazonas;Apuí;-7.19722;-59.8914
BR;Amazonas;Lábrea;-7.26378;-64.7965
BR;Amazonas;Lábrea;-7.26435;-64.7964
BR;Paraíba;Aroeiras;-7.54682;-35.7082
BR;Pernambuco;Goiana;-7.56056;-35.0025
BR;Paraíba;Sapé;-7.09836;-35.2301
BR;Pernambuco;Ilha de Itamaracá;-7.74778;-34.8256
BR;Paraíba;Caaporã;-7.51556;-34.9083
BR;Paraíba;Desterro;-7.29056;-37.0939
BR;Ceará;Araripe;-7.21203;-40.1355
BR;Ceará;Araripe;-7.21337;-40.137
BR;Tocantins;Barra do Ouro;-7.68944;-47.6828
BR;Tocantins;Palmeirante;-7.86;-47.9258
BR;Pernambuco;Passira;-7.995;-35.5806
ID;Central Java;Semarang;-7.00515;110.438
ID;Yogyakarta;Yogyakarta;-7.81067;110.347
BR;Paraíba;João Pessoa (Bancários);-7.14549;-34.8389
ID;East Java;Segorotambak;-7.36667;112.808
BR;Amazonas;Guajará;-7.54583;-72.5836
ID;Central Java;Banguntapan;-7.87538;110.426
BR;Tocantins;Araguaína;-7.82779;-48.1397
BR;Ceará;Muriti;-7.30076;-39.2794
ID;East Java;Surabaya;-7.27488;112.703
ID;East Java;Wedoro;-7.3328;112.741
ID;Yogyakarta;Sleman;-7.7773;110.385
ID;East Java;Pandaan;-7.61657;112.689
ID;Yogyakarta;Melati;-7.75328;110.38
ID;Yogyakarta;Yogyakarta;-7.81019;110.35
ID;East Java;Surabaya;-7.24481;112.745
ID;Central Java;Purwokerto;-7.41248;109.242
ID;Yogyakarta;Melati;-7.7603;110.361
ID;Central Java;Banyumas;-7.40418;109.246
ID;East Java;Malang;-7.92152;112.597
ID;East Java;Singosari;-7.89408;112.606
ID;East Java;Gubengairlangga;-7.27291;112.743
ID;East Java;Surabaya;-7.27418;112.7
ID;West Java;Sidomulyo;-7.6554;108.626
ID;East Java;Malang;-7.94312;112.625
ID;East Java;Madiun;-7.63106;111.53
ID;East Java;Malang;-7.95178;112.607
ID;East Java;Tulusrejo;-7.95007;112.629
ID;Central Java;Jagong;-7.0481;111.253
ID;East Java;Randuboto;-7.0034;112.581
ID;Yogyakarta;Yogyakarta;-7.80123;110.383
ID;Central Java;Trucuk;-7.73741;110.632
ID;Central Java;Sekaran;-7.04907;110.396
ID;Yogyakarta;Bumijo;-7.78501;110.36
ID;Central Java;Surakarta;-7.5596;110.857
ID;East Java;Mulyorejo;-7.28236;112.795
ID;East Java;Surabaya;-7.27585;112.794
ID;East Java;Kejawanputihtambak;-7.27585;112.794
ID;Yogyakarta;Caturtunggal;-7.78478;110.394
ID;Yogyakarta;Pugeran Maguwoharjo;-7.78478;110.394
ID;West Java;Cintawana;-7.3552;108.105
ID;Central Java;Purwokerto;-7.4432;109.244
ID;Central Java;Purwokerto;-7.44326;109.244
ID;East Java;Malang;-7.96117;112.622
ID;Central Java;Salatiga;-7.3181;110.5
ID;Central Java;Salatiga;-7.31852;110.499
ID;Central Java;Salatiga;-7.3196;110.499
ID;Yogyakarta;Gamping Lor;-7.8035;110.341
ID;East Java;Surabaya;-7.25234;112.75
ID;Yogyakarta;Kasihan;-7.81164;110.336
ID;Yogyakarta;Yogyakarta;-7.81745;110.389
ID;East Java;Gununganyar;-7.33199;112.781
ID;Central Java;Magelang;-7.48413;110.25
ID;Central Java;Wonosobo;-7.34611;109.953
ID;West Java;Nyemplong;-7.418;108.247
ID;West Java;Ampera;-7.32245;108.211
ID;Central Java;Karanganyar;-7.60707;110.987
ID;Yogyakarta;Sleman;-7.77495;110.409
